Date,Customer_ID,Location,Customer_Type,Product,Quantity_Sold_kg,Price_per_kg_KES,Sugarcane_Input_kg,Labor_Cost_KES,Transport_Cost_KES,Sugarcane_Cost_KES,Revenue_KES,Jaggery_Output_kg,Beginning_Inventory_kg,Ending_Inventory_kg
2025-01-01,bb6857ff,Migori,Individual,Jaggery Blocks,81,84,85,542,430,1771,6804,43.4586063998117,87.2020842235533,6.2020842235533
2025-01-01,c1ba2de5,Kisii,Individual,Jaggery Paste,73,111,190,516,215,1785,8103,73.26559900187772,110.09372196771346,37.09372196771346
2025-01-01,e49e2e5a,Kisumu,Wholesale,Jaggery Paste,80,72,51,758,481,1848,5760,26.47946669053788,53.998025249040616,0.0
2025-01-01,cab8e3a4,Kisii,Wholesale,Liquid Jaggery,77,133,180,528,246,566,10241,59.03808419574415,91.98421231529443,14.984212315294428
2025-01-01,1cf05714,Migori,Retail,Liquid Jaggery,85,108,74,655,379,1171,9180,22.436924790244117,64.75555236067441,0.0
2025-01-01,5f752a99,Kisumu,Wholesale,Liquid Jaggery,49,83,106,534,142,1319,4067,60.668544277321445,83.30037005765149,34.30037005765149
2025-01-01,7b9fce8a,Migori,Wholesale,Jaggery Paste,52,72,52,412,276,1686,3744,21.82948788370756,53.929626934169306,1.9296269341693062
2025-01-01,6cf5d7af,Kisii,Individual,Liquid Jaggery,78,131,104,408,439,1123,10218,61.81129330620038,100.06604418021269,22.066044180212685
2025-01-01,e3a0d9c4,Homa Bay,Individual,Jaggery Paste,87,86,78,508,425,1714,7482,43.20658312559098,86.11203398787981,0.0
2025-01-01,6cde04b0,Kisii,Individual,Liquid Jaggery,18,113,64,934,488,1958,2034,37.3831733403717,84.11350005802396,66.11350005802396
2025-01-01,9e902c81,Migori,Retail,Jaggery Paste,93,79,176,527,109,759,7347,95.37806885621912,139.05903757881714,46.05903757881714
2025-01-01,859301c3,Siaya,Individual,Jaggery Blocks,93,146,176,365,213,1001,13578,102.34549249562971,134.85227412300208,41.852274123002076
2025-01-02,8b140377,Migori,Individual,Jaggery Blocks,24,129,158,499,293,1950,3096,84.87458053008639,104.96573891315984,80.96573891315984
2025-01-02,a4377d41,Homa Bay,Wholesale,Jaggery Paste,97,148,51,577,358,704,14356,21.585377715448114,57.40132468794752,0.0
2025-01-02,698909e2,Homa Bay,Retail,Jaggery Blocks,93,126,65,414,144,1146,11718,36.08234992634426,78.18074253983907,0.0
2025-01-02,41e18544,Kisumu,Retail,Liquid Jaggery,20,137,63,837,445,1281,2740,35.69912347185825,60.357400301985905,40.357400301985905
2025-01-02,ee271197,Kisumu,Retail,Jaggery Blocks,67,95,195,513,253,1298,6365,65.91269501120297,97.11731761261558,30.11731761261558
2025-01-03,01d99c98,Kisumu,Individual,Jaggery Blocks,68,72,134,932,436,1184,4896,45.2427597349109,83.4168779937961,15.416877993796106
2025-01-03,d3fda4b6,Migori,Retail,Jaggery Paste,25,140,177,417,460,1811,3500,98.0071256891582,126.04341921671637,101.04341921671637
2025-01-03,344154a8,Kisumu,Retail,Jaggery Blocks,49,145,161,512,312,980,7105,61.92811470894553,90.2265805723784,41.226580572378396
2025-01-03,37f18c6f,Kisii,Individual,Jaggery Blocks,20,138,131,691,232,540,2760,63.7412367564564,88.04056089613172,68.04056089613172
2025-01-03,75fb9a71,Migori,Retail,Jaggery Blocks,81,113,106,979,205,1100,9153,57.88480414064321,105.0994704567044,24.099470456704395
2025-01-03,ff00eb92,Migori,Retail,Jaggery Paste,51,149,166,901,306,523,7599,74.6775482809256,103.82089757823655,52.820897578236554
2025-01-03,36cf3fc4,Migori,Wholesale,Jaggery Paste,15,86,177,851,224,1156,1290,94.62168396122127,107.73525008564182,92.73525008564182
2025-01-04,480e55ff,Migori,Individual,Jaggery Paste,25,104,60,617,328,1664,2600,30.90994615818756,66.81674626666658,41.816746266666584
2025-01-04,2fe5a08d,Homa Bay,Individual,Jaggery Paste,40,133,102,403,155,1358,5320,49.43402336580161,89.82287651303862,49.82287651303862
2025-01-04,361f0df8,Kisumu,Wholesale,Jaggery Paste,85,135,118,745,370,1731,11475,61.38744377557395,74.24036335208652,0.0
2025-01-04,6187460b,Migori,Retail,Jaggery Paste,73,132,78,854,203,1741,9636,44.544658153289824,90.7288682778046,17.728868277804594
2025-01-04,1ddc5b2c,Homa Bay,Retail,Jaggery Blocks,37,138,181,787,303,1056,5106,72.2357074343385,121.60533610640445,84.60533610640445
2025-01-04,7d0204e3,Kisumu,Wholesale,Liquid Jaggery,13,148,154,678,110,1964,1924,49.11801640118323,80.03727700541654,67.03727700541654
2025-01-05,34049a47,Kisii,Wholesale,Jaggery Paste,59,119,196,766,153,643,7021,88.064052021409,128.95441860753692,69.95441860753692
2025-01-05,08f2d54e,Migori,Retail,Liquid Jaggery,93,123,168,926,175,1381,11439,83.9984580495266,95.99934872618891,2.999348726188913
2025-01-05,9bb233a4,Kisumu,Wholesale,Jaggery Blocks,79,144,53,603,439,596,11376,20.166602681267054,70.11052939872879,0.0
2025-01-05,f1c03183,Homa Bay,Wholesale,Liquid Jaggery,53,117,124,438,369,989,6201,66.08793795041018,90.81136345705875,37.81136345705875
2025-01-05,9ede2864,Migori,Retail,Jaggery Blocks,99,110,85,893,155,1464,10890,26.284767045608582,62.65992418966717,0.0
2025-01-05,3f332a53,Kisii,Retail,Jaggery Blocks,88,118,180,623,408,1389,10384,91.95916762531296,141.73717116713635,53.73717116713635
2025-01-05,bdb57c64,Migori,Retail,Jaggery Blocks,72,116,193,398,463,1532,8352,79.30233651034399,123.66989805920676,51.66989805920676
2025-01-05,d396cd57,Migori,Wholesale,Jaggery Blocks,89,98,152,834,285,1095,8722,66.22371776038473,80.04547274297538,0.0
